sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
165,2,5,4.24,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/ramzan-kadorovi-21-aastasest-tutrest-sai-tsetseenia-kultuuriministri-asetaitja?id=90921255
81,0,1,1.23,2,Uued Uudised,https://uueduudised.ee/uudis/maailm/usa-president-lubab-ajutiselt-sisserande-peatada/
72,1,1,2.78,1,Uued Uudised,https://uueduudised.ee/uudis/maailm/jaak-madison-euroopa-parlamendis-el-i-eesmark-on-kogu-aeg-olnud-lahkuvaid-britte-karistada/
505,11,4,2.97,18,Telegram,https://www.telegram.ee/eesti/ilmus-telegrami-paberajakirja-kevadnumber
254,2,10,4.72,12,Uued Uudised,https://uueduudised.ee/uudis/eesti/ekre-fraktsiooni-esimees-siim-pohlak-eesti-rahva-enamuse-tahte-elluviimise-takistamine-ei-tee-opositsioonile-au/
316,1,7,2.53,13,Uued Uudised,https://uueduudised.ee/uudis/maailm/osa-euroopast-vilgutab-prantsusmaa-eestvedamisel-inimkaubanduse-hoogustamisele-rohelist-tuld/
115,0,2,1.74,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/richmondis-kukutasid-protestijad-christopher-columbuse-ausamba?id=90131291
664,13,24,5.57,25,Eesti Päevaleht,https://epl.delfi.ee/arvamus/lgbt-uhingu-avalik-kiri-peaministrile-sinu-jaoks-on-kriis-labi-aga-meie-elame-selles-iga-paev-kuni-voimul-on-valitsus-kes-votab-meilt-kodus-turvatunde?id=91449844
178,1,4,2.81,1,Uued Uudised,https://uueduudised.ee/uudis/objektiiv-toi-tanavatele-oma-samapaljuinimene-loosungid/
223,0,6,2.69,0,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/eelmisel-nadalal-lisandus-ule-maailma-rekordarv-ligi-2-miljonit-uut-koroonajuhtumit?id=91114129
345,21,15,10.43,3,Uued Uudised,https://uueduudised.ee/arvamus/repliik/harri-kingo-kes-on-meil-tegelikult-homofoobid/
260,5,0,1.92,11,Telegram,https://www.telegram.ee/eesti/iga-viies-taimeliik-on-valjasuremisohus
312,2,4,1.92,12,Telegram,https://www.telegram.ee/maailm/boliivia-parlament-kiitis-heaks-kloordioksiidi-mms-i-kasutamise-covid-19-raviks
421,6,9,3.56,10,Uued Uudised,https://uueduudised.ee/arvamus/repliik/valesti-ette-pandud-mask-voib-noore-ministri-maine-joepohja-kukutada/
663,17,21,5.73,24,Uued Uudised,https://uueduudised.ee/arvamus/hillar-viks-v-nagu-voit/
1552,95,36,8.44,34,Telegram,https://www.telegram.ee/nwo/kas-maailmavalitsejad-ei-olegi-halvad-4-osa-kes-meid-tegelikult-jalgib
245,2,7,3.67,8,Uued Uudised,https://uueduudised.ee/arvamus/repliik/hakkab-tulema-isegi-ansip-on-sunnitud-kiitma-valitsuse-otsust/
198,3,3,3.03,5,Uued Uudised,https://uueduudised.ee/uudis/eesti/kas-maletate-kuidas-reformierakond-ja-sotsid-omadele-miljoneid-jagasid/
292,2,1,1.03,4,Delfi,https://www.delfi.ee/news/paevauudised/eesti/fotod-suurim-valitsuspartei-keskerakond-pidas-kongressi-esimeheks-valiti-taas-ainukesena-kandideerinud-juri-ratas?id=90808489
287,2,11,4.53,5,Telegram,https://www.telegram.ee/maailm/11-veebruaril-toimub-ulemaailmne-protestiaktsioon-internetijalgimise-vastu
72,0,0,0.0,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/lukasenka-teatas-valmisolekust-osa-oma-volitustest-ara-anda?id=91328701
176,0,3,1.7,0,Uued Uudised,https://uueduudised.ee/uudis/eesti/politsei-saatis-riigist-valja-neli-ebaseaduslikult-schengeni-ruumis-viibunud-valismaalast/
197,3,3,3.05,6,Telegram,https://www.telegram.ee/toit-ja-tervis/idee-mis-juurdus-12-000-aastat
1239,34,30,5.17,31,Uued Uudised,https://uueduudised.ee/arvamus/intervjuu/leedu-vabadusvoitleja-algirdas-patackas-euroopa-havitab-antikristlik-viirus/
130,1,7,6.15,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/isolatsiooni-eiranud-ja-narvas-seigelnud-koroonahaiget-voib-oodata-trahv?id=90582855
253,1,2,1.19,3,Uued Uudised,https://uueduudised.ee/uudis/eesti/lauri-laanemets-toestas-et-sotside-mottelaad-on-mustvalge/
324,4,0,1.23,6,Telegram,https://www.telegram.ee/teadus-ja-tulevik/video-kuidas-reageerivad-populaarsed-eesti-suunamudijad-karusloomafarmide-videole
384,11,1,3.12,11,Telegram,https://www.telegram.ee/eesti/meeleavaldus-paastame-eesti-metsad-toimub-laupaeval-internetis
154,0,4,2.6,2,Delfi,https://www.delfi.ee/news/paevauudised/eesti/oxfordi-ulikooli-koroonaviiruse-vaktsiin-tekitab-immuunsuse?id=90503261
126,0,2,1.59,0,Telegram,https://www.telegram.ee/maailm/video-afganistanis-kukkus-alla-usa-lennuk
857,8,9,1.98,13,Uued Uudised,https://uueduudised.ee/arvamus/andres-raid-mis-keeles-ikkagi-toimub-eestis-kohtupidamine/
366,6,2,2.19,12,Delfi,https://www.delfi.ee/news/paevauudised/eesti/politoloog-noorem-helme-sobib-pikaajalise-plaani-taitmiseks-paremini?id=90292157
318,3,8,3.46,7,Uued Uudised,https://uueduudised.ee/uudis/eesti/ekre-noudis-parnus-aru-ent-lehma-asemel-olid-pildil-vaid-mark-soosaare-valed/
962,18,37,5.72,27,Uued Uudised,https://uueduudised.ee/uudis/maailm/millest-jatavad-pealiskaudsed-faktikontrollid-raakimata/
1070,10,22,2.99,10,Telegram,https://www.telegram.ee/nwo/kas-malaisia-lennuki-musteerium-on-lahendatud
212,5,0,2.36,8,Uued Uudised,https://uueduudised.ee/majandus/it-minister-raul-siem-tegi-ettepaneku-jagada-esimene-5g-sagedusala-nelja-loa-vahel/
475,8,11,4.0,20,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/leedu-valisminister-nimetas-oma-avalduses-lukasenkat-valgevene-endiseks-presidendiks?id=90746173
142,3,2,3.52,0,Delfi,https://www.delfi.ee/news/paevauudised/eesti/politsei-otsib-tartumaal-kadunud-ulot?id=91451494
978,21,27,4.91,33,Uued Uudised,https://uueduudised.ee/uudis/maailm/urmas-espenberg-arge-tooge-abivajajaid-eestisse-vaid-aidake-neid-sihtriigis/
282,3,6,3.19,7,Uued Uudised,https://uueduudised.ee/uudis/maailm/matteo-salvini-on-lainud-ja-surmav-inimkaubandus-itaalia-vetes-on-jallegi-hoos/
223,0,2,0.9,4,Uued Uudised,https://uueduudised.ee/arvamus/dirigendid-diligendid-ja-diletandid-ehk-kuidas-sellest-koigest-ajakirjanikud-aru-saavad/
339,6,4,2.95,14,Delfi,https://www.delfi.ee/news/paevauudised/eesti/video-nalkjad-said-oma-api-millised-limased-olevused-tuleks-keeva-veega-ule-valada-millised-mitte?id=90506671
351,6,13,5.41,3,Uued Uudised,https://uueduudised.ee/uudis/maailm/islamiaarmuslus-joudis-usa-sojavaebaasi-puha-soja-toi-kohale-saudi-sojavaelane/
159,4,4,5.03,4,Delfi,https://www.delfi.ee/news/paevauudised/eesti/isamaa-parempoolsed-helmede-loodud-vaenamise-ohkkonnas-abielureferendumit-ei-toimu?id=91410891
567,27,9,6.35,15,Uued Uudised,https://uueduudised.ee/arvamus/keskealine-valge-heteromees-ei-tahaks-geiseksist-isegi-mitte-moelda-aga-seda-sunnitakse-peale/
489,6,7,2.66,14,Telegram,https://www.telegram.ee/eesti/kodanikuuhenduse-vaidlus-hiigeltehase-ule-joudis-riigikohtusse
